trial_number,k_days,rsi_ob,rsi_os,t_vol,pat_thresh,tp,sl,rsi_w,long_thresh,short_thresh,sharpe_ratio
79,14,83,33,1.8020549861692186,0.7302373051860398,0.03295019417065838,0.016440007112943873,0.34699246285629487,0.6429880617001815,0.49757376053243063,0.15523512434485404
80,18,78,19,1.5535720976698104,0.6926974034115017,0.022853280702338972,0.02283572339798673,0.3156568151509971,0.6871656878656268,0.3794487591777921,0.22548985624263024
81,18,78,20,1.665353436491444,0.6855290678889404,0.02428138564864006,0.02201822814523361,0.30050008337431505,0.6889018859296141,0.3788792331238131,0.18407951378934986
82,16,77,21,1.5670633714154392,0.6355013127812956,0.023129999571834797,0.02919496419830844,0.3235573632088024,0.6783384712821761,0.4370388024166053,0.13787583349391497
83,19,81,18,1.6386936083636938,0.6087579563030371,0.0289285339874506,0.024492210362144967,0.36657391705321696,0.6613435318012777,0.394897132495984,0.1005208648283768
84,13,79,28,1.4863240835388545,0.6541801301300616,0.08049914502734327,0.020796108548242268,0.26746810713825153,0.699415356348369,0.3642980312096648,0.02100061456262006
85,15,80,23,2.128606327606639,0.5751957075519485,0.03188890439095287,0.028275628741061914,0.38305794543679855,0.6879244164786662,0.38830023134895136,0.11013222824881934
86,10,78,17,2.023851089512904,0.6995746744253337,0.022820273574125773,0.026174079330317346,0.3144239114351905,0.6502500285178513,0.34665237120116804,0.23537264933477114
87,10,76,17,2.012796402159258,0.702337887672061,0.02253907801416176,0.023017404812300274,0.23135561755699674,0.622982260454627,0.3446115721954086,0.12585897710125463
88,11,78,16,2.2522701497064412,0.7195884193711459,0.020230906761458105,0.018950189128077242,0.3145753604912447,0.649449537144306,0.37721875560258,0.27345618659406745
89,11,78,16,2.2880202432981416,0.7320011152862379,0.02206918257898533,0.019322090918190753,0.13308597399857056,0.6487354737357189,0.6568967787274855,0.06825777062613657
90,9,75,16,1.9447455896935253,0.7454706295009292,0.036103283301316375,0.016107194371946548,0.31311407364800303,0.608426785921788,0.3742068766385483,0.10871232657006677
91,12,78,15,2.250919049316678,0.6968284414065797,0.020786082867227173,0.02554408890067391,0.27338037467147863,0.6366430851261158,0.35371720036871357,0.19466336103141024
92,20,79,15,2.3648225893109087,0.7104014144868267,0.020219437303147035,0.025703741467355084,0.2834333969171199,0.633897283000208,0.3268628655651306,0.17490944742273723
93,12,77,17,2.2361870872835845,0.7188262277497357,0.024933500847946943,0.018076312543054824,0.2535801646738151,0.5705988108201947,0.3504490750066547,0.08797188481085016
94,11,76,15,2.5182481147729905,0.6909181360963237,0.029712479494278476,0.03142545364313322,0.2717095117999666,0.6261734796864911,0.4127617828701452,0.12260376934959691
95,18,79,18,2.0773156916631588,0.6746479965042477,0.020405273621200308,0.032916824932607266,0.21012083453587477,0.6401468142755564,0.37902305321555363,0.05602674310196636
96,10,78,16,2.2545873890617623,0.6980288206580924,0.02572386146472767,0.022774627690416174,0.3042707258990923,0.657534263659098,0.3103734315568317,0.20968339278467696
97,8,78,16,2.142381570627854,0.7711305009592445,0.025032322720279828,0.012603895331510361,0.2951665136302499,0.6694717574824702,0.3385741205695534,0.2137007861224394
98,8,77,18,2.154627351712449,0.7689513804175723,0.03164136490076107,0.011794889658912486,0.2957087022549552,0.6696126667109976,0.30854172034255234,0.16444103709754745
99,6,80,19,2.140085957582353,0.740572849716511,0.02552183505512687,0.012611345672834508,0.3988618085851311,0.6552365531883084,0.3352514433281117,0.25125347924874464
100,8,80,19,2.154174162376221,0.7704395390456592,0.024328216895151664,0.014615801630741228,0.4061577340028047,0.6501124404319507,0.3368061688374938,0.23838041976869837
